item_id,category_id,brand_id,product_name,price_tier,price_rmb,recipient,why_popular_or_note
I062,C07,B061,Muji/HAY 极简银耳钉,T1,150,女,日常入门
I063,C07,B059,APM Monaco 小型耳钉,T2,500,女,轻奢入门款
I064,C07,,Mejuri 14k小金耳钉,T2,800,女,DTC轻奢 极简
I065,C07,B009,Tiffany T Smile 银款,T3,2500,女,蓝盒子情怀
I066,C07,B011,Bvlgari B.zero1银款耳钉,T3,3000,女,
I067,C07,B010,Van Cleef Sweet Alhambra 耳钉,T4,12000,女,四叶草入门
I068,C07,B008,Cartier Trinity 三色金耳钉,T4,15000,女,
I069,C08,B009,Tiffany Return to Tiffany 心形项链 银,T3,2800,女,告白经典款
I070,C08,B010,Van Cleef Vintage Alhambra 项链,T4,28000,女,四叶草顶配
I071,C08,B008,Cartier Love项链,T4,18000,女,情侣表白款
I072,C10,B008,Cartier Love手镯 18K,T4,42000,女,周年纪念顶配
I073,C10,B011,Bvlgari B.zero1戒指 18K,T4,15000,通用,
I074,C11,,Casio 小方块A158/A168,T1,180,通用,复古实用 校园风
I075,C11,,Casio G-Shock入门款,T2,650,男,户外运动
I076,C11,,Daniel Wellington 入门款,T2,900,女/男,送毕业生友好
I077,C11,B067,Apple Watch SE,T3,2199,通用,实用入门
I078,C11,,Seiko 5系列机械,T3,1800,男,机械表入门
I079,C11,B067,Apple Watch Series 10,T4,3499,通用,实用首选
I080,C11,,Tudor Black Bay 58,T4,38000,男,机械表入门高奢
I081,C12,B061,Muji 羊毛混纺围巾,T1,199,通用,
I082,C12,B028,Acne Studios mini围巾,T3,1200,女/男,粉色条纹经典
I083,C12,B016,Burberry 经典格纹围巾(纯羊绒小款),T4,3800,女/男,节日礼经典
I084,C12,B001,Hermès Carré 90丝巾,T4,5300,女,丝巾天花板
I085,C12,B020,Loro Piana 羊绒围巾,T4,7500,通用,顶级羊绒
I086,C13,,Ray-Ban Wayfarer/Aviator,T2,900,通用,经典款 安全选择
I087,C13,B058,Gentle Monster 入门款,T3,1500,通用,设计感强
I088,C13,B018,Tom Ford 太阳镜,T4,5500,通用,
I089,C15,B039,茶里 CHALI 节日礼盒,T1,150,通用,平价伴手礼
I090,C15,,小罐茶 多泡装/银罐,T2,500,长辈/商务,
I091,C15,,TWG Tea 礼盒装,T2,800,女/商务,新加坡品牌 包装精致
I092,C15,,小罐茶 大师作系列,T3,1800,长辈/商务,
I093,C15,,顶级武夷山岩茶/老白茶饼,T4,6000,长辈/商务,
I094,C17,,黄尾袋鼠 Yellow Tail,T1,100,通用,日常餐酒
I095,C17,,Penfolds 奔富 Bin 8/28,T2,600,通用,入门澳洲红酒
I096,C17,,Penfolds Bin 389,T3,1500,商务,
I097,C17,,Opus One Overture副牌,T3,2500,商务/红酒爱好,
I098,C17,,Penfolds Grange,T4,6500,商务/红酒爱好,
I099,C17,,Krug Grande Cuvée 香槟,T4,4500,商务/庆祝,
I100,C18,B073,LAMY Safari 钢笔,T1,250,学生/职场新人,德系入门钢笔
I101,C18,B074,Pilot Kakuno 钢笔,T1,100,学生,
I102,C18,B076,Kaweco Sport 钢笔,T2,400,通用,口袋钢笔
I103,C18,B073,LAMY 2000 钢笔,T2,900,职场,德系经典
I104,C18,B074,Pilot Custom 74,T3,1500,职场,日系性价比之王
I105,C18,B075,Parker Sonnet 系列,T3,2000,商务,
I106,C18,B072,Montblanc 大班146/149,T4,6500,商务/领导,商务送礼天花板
I107,C18,B040,Hobonichi Techo 手帐套装,T2,600,女/学生,日系手帐文化
I108,C18,B041,Smythson Panama notebook,T3,2000,商务/文艺,英国王室款
I109,C19,B071,Anker 充电宝/MagSafe支架,T1,180,通用,实用送男生
I110,C19,B067,AirPods 3,T2,999,通用,Apple入门
I111,C19,B067,AirPods Pro 2,T3,1799,通用,通用送礼安全卡
I112,C19,,Kindle Paperwhite,T3,1500,阅读爱好,
I113,C19,B068,Sony WF-1000XM5,T3,1999,通用,降噪标杆
I114,C19,B067,AirPods Max,T4,4399,音乐/通勤,
I115,C19,B070,B&O Beoplay H100,T4,8000,高端商务,设计+音质顶配
I116,C20,B061,Muji 玻璃杯/星巴克 mug,T1,120,通用,
I117,C20,B045,Owala FreeSip 24oz,T1,200,通用,Stanley的好用平替
I118,C20,B044,Stanley Quencher 30oz,T2,400,通用,现象级网红水杯
I119,C20,B063,Iittala Kastehelmi 露珠杯,T2,400,女/家居,北欧设计
I120,C20,B070,B&O Beosound A1 蓝牙音箱(配套礼),T3,2500,通用,(归入数码-跨界家居)
I121,C21,B046,Jellycat Bashful Bunny 小号,T1,199,女/儿童,治愈系入门
I122,C21,B047,Pop Mart Skullpanda 盲盒,T1,69,女/年轻人,
I123,C21,B046,Jellycat Bashful Bunny 中号/大号,T2,500,女/儿童,
I124,C21,B047,Labubu Macaron 系列,T2,599,年轻人,二级市场热门
I125,C21,B046,Jellycat Huge Bunny,T3,1800,女,
I126,C21,B047,Labubu 隐藏款/稀有款 二手,T4,5000,潮玩爱好,二级市场价
I127,C23,B063,Iittala Birds by Toikka 小型,T3,1500,女/家居,
I128,C23,B062,Marimekko Unikko 印花靠垫/餐巾环,T2,400,家居/乔迁,
I129,C24,B064,Le Creuset 经典铸铁锅 22cm,T3,2500,新婚/乔迁,
I130,C24,B065,Bodum 双层玻璃杯一对,T1,180,通用,
I131,C25,B021,Aesop 香芹籽护手霜+沐浴礼盒,T2,650,通用,安全公司礼
I132,C25,B061,Muji 香薰+蜡烛礼盒,T1,200,通用,
I133,C25,B037,观夏 节日限定礼盒,T2,800,女,
I134,C25,B001,Hermès 香水+蜡烛+小皮件 节日礼盒,T4,4500,女,品牌组合礼
I135,C16,,Godiva/Lindt 节日礼盒,T1,180,通用,巧克力安全礼
I136,C16,,Pierre Hermé/Patchi 高端礼盒,T2,500,女/商务,
